layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,1.0,1.0,0.0,0.0,0.0
1,00,1,raya,0.05342221260070801,0.05342221260070801,0.0,0.0,0.0
2,00,1,raya,-0.004836041480302811,-0.004836041480302811,0.0,0.0,0.0
3,00,1,raya,-0.02473888359963894,-0.02473888359963894,0.0,0.0,0.0
4,00,1,raya,-0.021049797534942627,-0.021049797534942627,0.0,0.0,0.0
5,00,1,raya,-0.031159671023488045,-0.031159671023488045,0.0,0.0,0.0
6,00,1,raya,-0.03180428966879845,-0.03180428966879845,0.0,0.0,0.0
7,00,1,raya,-0.024460550397634506,-0.024460550397634506,0.0,0.0,0.0
8,00,1,raya,-0.03950287401676178,-0.03950287401676178,0.0,0.0,0.0
9,00,1,raya,-0.03840120509266853,-0.03840120509266853,0.0,0.0,0.0
10,00,1,raya,-0.04829273745417595,-0.04829273745417595,0.0,0.0,0.0
11,00,1,raya,-0.02902529016137123,-0.02902529016137123,0.0,0.0,0.0
12,00,1,raya,-0.021203000098466873,-0.021203000098466873,0.0,0.0,0.0
0,00,2,raya,1.0,1.0,0.0,0.0,0.0
1,00,2,raya,0.05342221260070801,0.05342221260070801,0.0,0.0,0.0
2,00,2,raya,-0.004836041480302811,-0.004836041480302811,0.0,0.0,0.0
3,00,2,raya,-0.02473888359963894,-0.02473888359963894,0.0,0.0,0.0
4,00,2,raya,-0.021049797534942627,-0.021049797534942627,0.0,0.0,0.0
5,00,2,raya,-0.031159671023488045,-0.031159671023488045,0.0,0.0,0.0
6,00,2,raya,-0.03180428966879845,-0.03180428966879845,0.0,0.0,0.0
7,00,2,raya,-0.024460550397634506,-0.024460550397634506,0.0,0.0,0.0
8,00,2,raya,-0.03950287401676178,-0.03950287401676178,0.0,0.0,0.0
9,00,2,raya,-0.03840120509266853,-0.03840120509266853,0.0,0.0,0.0
10,00,2,raya,-0.04829273745417595,-0.04829273745417595,0.0,0.0,0.0
11,00,2,raya,-0.02902529016137123,-0.02902529016137123,0.0,0.0,0.0
12,00,2,raya,-0.021203000098466873,-0.021203000098466873,0.0,0.0,0.0
